"pulled_at","season","week","team","pos","player","player_id","status","rule","note"
"2026-09-24T21:46:13Z","2026","3","ATL","QB","Michael Penix Jr.","00-0039917","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","ARI","QB","Jacoby Brissett","00-0033119","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","LAC","QB","Justin Herbert","00-0036355","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","NYJ","QB","Geno Smith","00-0030565","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","MIN","QB","Kyler Murray","00-0035228","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","CHI","QB","Case Keenum","00-0028986","","nflverse schedule","Sleeper: Tyson Bagent"
"2026-09-24T21:46:13Z","2026","3","DEN","QB","Bo Nix","00-0039732","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","NYG","QB","Jameis Winston","00-0031503","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","PIT","QB","Aaron Rodgers","00-0023459","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","CIN","QB","Joe Burrow","00-0036442","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","PHI","QB","Jalen Hurts","00-0036389","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","NO","QB","Tyler Shough","00-0040743","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","CAR","QB","Bryce Young","00-0039150","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","HOU","QB","C.J. Stroud","00-0039163","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","GB","QB","Jordan Love","00-0036264","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","JAX","QB","Trevor Lawrence","00-0036971","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","LA","QB","Matthew Stafford","00-0026498","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","SEA","QB","Sam Darnold","00-0034869","Questionable","Sleeper + Ourlads depth charts agree (schedule differs)","Schedule: Drew Lock"
"2026-09-24T21:46:13Z","2026","3","DAL","QB","Dak Prescott","00-0033077","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","DET","QB","Jared Goff","00-0033106","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","BUF","QB","Josh Allen","00-0034857","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","SF","QB","Brock Purdy","00-0037834","","nflverse schedule",""
